fdc_id,scope_class,current_cp,new_cp,title
402666,A1_spice,Pantry > Spices & Seasonings > Spice Blend,Pantry > Spices & Seasonings > Allspice,GROUND ALLSPICE
2385627,A1_spice,Pantry > Spices & Seasonings > Spice Blend,Pantry > Spices & Seasonings > Allspice,ALLSPICE
2654756,A1_spice,Pantry > Spices & Seasonings > Spice Blend,Pantry > Spices & Seasonings > Allspice,ALLSPICE GROUND
2655211,A1_spice,Pantry > Spices & Seasonings > Spice Blend,Pantry > Spices & Seasonings > Allspice,ALLSPICE GROUND
2670755,A1_spice,Pantry > Spices & Seasonings > Spice Blend,Pantry > Spices & Seasonings > Allspice,WHOLE ALLSPICE
384273,A1_spice,Pantry > Spices & Seasonings > Spice Blend,Pantry > Spices & Seasonings > Cardamom,GROUND CARDAMOM
579066,A1_spice,Pantry > Spices & Seasonings > Spice Blend,Pantry > Spices & Seasonings > Cardamom,CARDAMOM
2670743,A1_spice,Pantry > Spices & Seasonings > Spice Blend,Pantry > Spices & Seasonings > Cardamom,CARDAMOM POWDER
2670777,A1_spice,Pantry > Spices & Seasonings > Spice Blend,Pantry > Spices & Seasonings > Cardamom,CARDAMOM WHOLE
2369460,A1_spice,Pantry > Spices & Seasonings > Spice Blend,Pantry > Spices & Seasonings > Cardamom,ORGANIC CARDAMOM
2542164,A1_spice,Pantry > Spices & Seasonings > Spice Blend,Pantry > Spices & Seasonings > Cardamom,100% ORGANIC CARDAMOM
2149503,A1_spice,Pantry > Spices & Seasonings > Spice Blend,Pantry > Spices & Seasonings > Cardamom,CARDAMOM SPICE
579072,A1_spice,Pantry > Spices & Seasonings > Spice Blend,Pantry > Spices & Seasonings > Cloves,GROUND CLOVES
1604913,A1_spice,Pantry > Spices & Seasonings > Spice Blend,Pantry > Spices & Seasonings > Cloves,WHOLE CLOVES
2111929,A1_spice,Pantry > Spices & Seasonings > Spice Blend,Pantry > Spices & Seasonings > Cloves,GROUND CLOVES
2127812,A1_spice,Pantry > Spices & Seasonings > Spice Blend,Pantry > Spices & Seasonings > Cloves,CLOVES WHOLE
2128958,A1_spice,Pantry > Spices & Seasonings > Spice Blend,Pantry > Spices & Seasonings > Cloves,CLOVES GROUND
2451714,A1_spice,Pantry > Spices & Seasonings > Spice Blend,Pantry > Spices & Seasonings > Cloves,WHOLE CLOVES
2654753,A1_spice,Pantry > Spices & Seasonings > Spice Blend,Pantry > Spices & Seasonings > Cloves,WHOLE CLOVES
2540987,A1_spice,Pantry > Spices & Seasonings > Spice Blend,Pantry > Spices & Seasonings > Cloves,100% ORGANIC WHOLE CLOVES
915144,A1_spice,Pantry > Spices & Seasonings > Spice Blend,Pantry > Spices & Seasonings > Fenugreek,FENUGREEK SEED GROUND ORGANIC SPICES
941162,A1_spice,Pantry > Spices & Seasonings > Spice Blend,Pantry > Spices & Seasonings > Fenugreek,FENUGREEK SEED WHOLE ORGANIC SPICES
384451,A1_spice,Pantry > Spices & Seasonings > Spice Blend,Pantry > Spices & Seasonings > Nutmeg,WHOLE NUTMEG
384464,A1_spice,Pantry > Spices & Seasonings > Spice Blend,Pantry > Spices & Seasonings > Nutmeg,GROUND NUTMEG
1370346,A1_spice,Pantry > Spices & Seasonings > Spice Blend,Pantry > Spices & Seasonings > Nutmeg,GROUND NUTMEG
2072676,A1_spice,Pantry > Spices & Seasonings > Spice Blend,Pantry > Spices & Seasonings > Nutmeg,GROUND NUTMEG
2669442,A1_spice,Pantry > Spices & Seasonings > Spice Blend,Pantry > Spices & Seasonings > Nutmeg,GROUND NUTMEG
2670774,A1_spice,Pantry > Spices & Seasonings > Spice Blend,Pantry > Spices & Seasonings > Nutmeg,GROUND NUTMEG
2670927,A1_spice,Pantry > Spices & Seasonings > Spice Blend,Pantry > Spices & Seasonings > Nutmeg,WHOLE NUTMEG
2670944,A1_spice,Pantry > Spices & Seasonings > Spice Blend,Pantry > Spices & Seasonings > Nutmeg,WHOLE NUTMEG
941150,A1_spice,Pantry > Spices & Seasonings > Spice Blend,Pantry > Spices & Seasonings > Nutmeg,"NUTMEG GROUND ORGANIC SPICES, NUTMEG GROUND"
2130536,A1_spice,Pantry > Spices & Seasonings > Spice Blend,Pantry > Spices & Seasonings > Nutmeg,100% ORGANIC GROUND NUTMEG
2641700,A1_spice,Pantry > Spices & Seasonings > Spice Blend,Pantry > Spices & Seasonings > Nutmeg,ORGANIC WHOLE NUTMEG
2670934,A1_spice,Pantry > Spices & Seasonings > Spice Blend,Pantry > Spices & Seasonings > Saffron,SAFFRON
384277,A1_spice,Pantry > Spices & Seasonings > Spice Blend,Pantry > Spices & Seasonings > Star Anise,STAR ANISE
1370255,A1_spice,Pantry > Spices & Seasonings > Spice Blend,Pantry > Spices & Seasonings > Star Anise,"LA FLOR, STAR ANISE"
2131970,A1_spice,Pantry > Spices & Seasonings > Spice Blend,Pantry > Spices & Seasonings > Star Anise,100% ORGANIC STAR ANISE
2630657,A1_spice,Pantry > Spices & Seasonings > Spice Blend,Pantry > Spices & Seasonings > Sumac,GROUND SUMAC
2634108,A1_spice,Pantry > Spices & Seasonings > Spice Blend,Pantry > Spices & Seasonings > Cloves,WHOLE CLOVES
737302,A5_onion_powder,Pantry > Spices & Seasonings > Spice Blend,Pantry > Spices & Seasonings > Onion Powder,ONION POWDER
1983469,A5_onion_powder,Pantry > Spices & Seasonings > Spice Blend,Pantry > Spices & Seasonings > Onion Powder,ONION POWDER
2305871,A5_onion_powder,Pantry > Spices & Seasonings > Spice Blend,Pantry > Spices & Seasonings > Onion Powder,ONION POWDER
